Molecule.ChEMBL.ID,Smiles,Standard.Type,Standard.Relation,Standard.Value,Standard.Units,Molecular.Weight,AlogP
CHEMBL202415,C/C=C/[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,IC50,'=',1164,nM,316.49,4.23
CHEMBL378581,O=S1(=O)c2ccc(O)cc2CCN1c1ccccc1Cl,IC50,'=',892,nM,309.77,2.8
CHEMBL239938,CCN1CC(c2ccc(O)cc2)Cc2ccc(O)cc21,IC50,'=',1410,nM,269.34,3.26
CHEMBL1082743,COc1ccc(C(=O)Oc2cccc3c(O)cccc23)cc1,IC50,'=',795,nM,294.31,3.77
CHEMBL250104,O=C(O)CCc1cc(Br)c(OCc2cccc(Br)c2)c(Br)c1,IC50,'=',29000,nM,492.99,5.57
CHEMBL199766,Oc1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,IC50,'=',8310,nM,285.35,5.21
CHEMBL122208,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2CCCN2CCCCC2)cc1,IC50,'=',0.7,nM,385.53,4.96
CHEMBL456594,N=C(N)N/N=C/C1=C(Cl)c2ccccc2CCC1,IC50,'=',16000,nM,262.74,2.44
CHEMBL1450791,Cc1cc(C(=O)OCC(=O)c2ccc(Br)s2)no1,IC50,'=',36204.48,nM,330.16,2.85
CHEMBL1403448,O=C1c2ccccc2C(=O)N1c1ccc2[nH]c(-c3ccc(Br)o3)nc2c1,IC50,'=',8956.26,nM,408.21,4.39
CHEMBL1442697,COc1ccccc1N1CCN(C(=O)c2cc3c(s2)CCC3)CC1,IC50,'=',5194.54,nM,342.46,3.21
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',3.1,nM,463.6,5.93
CHEMBL235496,COC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCc2ccccc2F)cc1,IC50,'=',53,nM,421.42,3.98
CHEMBL298398,O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,IC50,'=',1100,nM,240.21,1.87
CHEMBL328190,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,IC50,'=',1.3,nM,413.56,5.73
CHEMBL187314,Oc1ccc2cc(-c3nc4ccc(O)cc4o3)ccc2c1,IC50,'=',780,nM,277.28,4.06
CHEMBL380469,CCCCC12CCC(=O)C(c3ccccc3)=C1c1ccc(O)cc1C2,IC50,'=',41,nM,332.44,5.4
CHEMBL377847,CCCC12CCC(=O)C=C1c1ccc(O)cc1C2,IC50,'=',2530,nM,242.32,3.48
CHEMBL215593,CCC[C@@]12CCC(=O)C(C)=C1c1ccc(O)cc1C2,IC50,'=',455,nM,256.34,3.87
CHEMBL384708,CC[C@H]1CC[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,IC50,'=',310,nM,282.38,4.12
CHEMBL213829,CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]nc(F)c3c1C2,IC50,'=',23,nM,326.42,4.96
CHEMBL1367590,O=C(COC(=O)c1cccc(S(=O)(=O)N2CCc3ccccc3C2)c1)NCc1ccco1,IC50,'=',24961.21,nM,454.5,2.5
CHEMBL89994,O=C(N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1)C(F)(F)F,IC50,'=',28.7,nM,434.46,3.9
CHEMBL203330,O=c1c2c(O)cc(O)cc2ncn1-c1ccc(O)c(Cl)c1,IC50,'=',55015,nM,304.69,2.16
CHEMBL210074,CC[C@@]12CCC(=O)C(C)=C1c1ccc3[nH]ncc3c1C2,IC50,'=',1360,nM,266.34,3.65
CHEMBL211816,CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]ncc3c1C2,IC50,'=',93,nM,308.43,4.82
CHEMBL211800,O=C1CC[C@@]2(CCC3CC3)Cc3c(ccc4[nH]ncc34)C2=C1Br,IC50,'=',229,nM,371.28,4.76
CHEMBL381299,CCCCCC12CCC(=O)C=C1c1ccc(O)cc1C2,IC50,'=',3740,nM,270.37,4.26
CHEMBL203402,CCN(c1ccc(O)cc1)S(=O)(=O)c1ccc(O)cc1,IC50,'=',272,nM,293.34,2.31
CHEMBL3189821,COc1ccc(OC)c(/C=N/c2oc(-c3ccco3)c(-c3ccco3)c2C#N)c1,IC50,'=',16276.25,nM,388.38,5.44
CHEMBL377295,CCOC(=O)C1=C(O)/C(=C\c2ccc(CNC(=O)C(=O)Nc3ccccc3)o2)N=C1C,IC50,'=',5729.13,nM,423.43,2.73
CHEMBL1424468,CCOC(=O)c1[nH]c2c(c1C)C(=O)CC(c1ccco1)C2,IC50,'=',30297.28,nM,287.31,3.01
CHEMBL1482201,COC(=O)C1=C(O)/C(=C\c2ccc(CNC(=O)C(=O)Nc3ccc(C)c(C)c3)o2)N=C1C,IC50,'=',19602.37,nM,437.45,2.95
CHEMBL1521410,Cc1cccc2cc(C(c3nnnn3C(C)(C)C)N(Cc3ccco3)CC3CCCO3)c(O)nc12,IC50,'=',13315.7,nM,476.58,4.35
CHEMBL1411687,O=C(Nc1ccc2oc(-c3ccccc3F)nc2c1)c1cncc(Br)c1,IC50,'=',15507.52,nM,412.22,5.04
CHEMBL1340020,Cc1ccc(-n2nnnc2SCC(=O)Nc2ccc3c(c2)COC3=O)cc1C,IC50,'=',27088.64,nM,395.44,2.68
CHEMBL150924,O=C(O)c1cc(-c2ccco2)nc2ccccc12,IC50,'=',23428.56,nM,239.23,3.19
CHEMBL1420411,COc1ccc(C2CC(c3c(O)nc4ccc(Cl)cc4c3-c3ccccc3)=NN2S(C)(=O)=O)cc1OC,IC50,'=',12439.15,nM,538.03,5.39
CHEMBL1519384,COc1cc(NC(=O)CSc2nc3ccccc3c(=O)n2C)ccc1NC(=O)c1ccco1,IC50,'=',32541.21,nM,464.5,3.52
CHEMBL1480378,Cc1ccnc(NS(=O)(=O)c2ccc(NC(=O)Cc3cccs3)cc2)n1,IC50,'=',12207.84,nM,388.47,2.83
CHEMBL1304227,O=C(Nc1nc(-c2nc3ccccc3s2)cs1)C1COc2ccccc2O1,IC50,'=',25091.32,nM,395.47,4.2
CHEMBL1362841,O=C(Cc1cccs1)Nc1ccccn1,IC50,'=',13428.48,nM,218.28,2.32
CHEMBL1454402,CC(=O)c1c(C)[nH]c(C(=O)COc2ccc(C#N)cc2)c1C,IC50,'=',34038.51,nM,296.33,2.97
CHEMBL1582403,CCC1=NN2C(=N)/C(=C\c3ccc(SCc4ccco4)o3)C(=O)N=C2S1,IC50,'=',21012.5,nM,386.46,4.19
CHEMBL1487772,CC(=O)Nc1ccc2nc(C)cc(O)c2c1,IC50,'=',20985.72,nM,216.24,2.21
CHEMBL1565187,O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccc(NC(=O)c2ccco2)c1,IC50,'=',13131.83,nM,434.46,5.39
CHEMBL1576748,COc1ccc(NC(=O)c2ccco2)cc1N,IC50,'=',36096.23,nM,232.24,2.12
CHEMBL1410824,CCn1c(SCC(=O)c2ccc(CNC(C)=O)o2)nnc1-c1cccs1,IC50,'=',42693.84,nM,390.49,3.23
CHEMBL1331872,Cc1nc2sccn2c1-c1nc(-c2cc3ccccc3o2)cs1,IC50,'=',10678.49,nM,337.43,5.24
CHEMBL1341814,Cc1cc(-c2nn3c(-c4ccccc4)nnc3s2)c2ccccc2n1,IC50,'=',21552.69,nM,343.42,4.38
CHEMBL1320651,COC(=O)c1ccc2c(=O)n(CCCCCC(=O)NCc3ccc4c(c3)OCO4)c(=O)[nH]c2c1,IC50,'=',14798.06,nM,467.48,2.08
CHEMBL363902,Oc1ccc(-c2nc3cc(O)cc(-c4nccs4)c3o2)cc1,IC50,'=',1340,nM,310.33,4.03
CHEMBL1573735,O=C1NC(c2ccc(Br)cc2)Nc2sc3c(c21)CCC3,IC50,'=',19409.03,nM,349.25,3.85
CHEMBL1466882,Cc1nnc(NC(=O)Cc2cccs2)s1,IC50,'=',19042.57,nM,239.32,2.09
CHEMBL1427879,CCOC(=O)c1ccc(NC(=O)CSc2nc(C)cc(O)n2)cc1,IC50,'=',3062.6,nM,347.4,2.4
CHEMBL1544241,COc1ccc(OC)c(NC(=O)c2cc(-c3ccc(C)cc3O)[nH]n2)c1,IC50,'=',22118.11,nM,353.38,3.36
CHEMBL372808,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OC[C@H](C)N3CCCC3)cc2)c2ccc(O)cc12,IC50,'=',0.4,nM,456.59,5.94
CHEMBL365290,Cc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,IC50,'=',114,nM,240.26,3.82
CHEMBL195280,N#Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)c(F)c12,IC50,'=',312,nM,297.26,4.07
CHEMBL192000,N#Cc1cc(O)cc2ccc(-c3ccc(O)c(F)c3)cc12,IC50,'=',96,nM,279.27,3.93
CHEMBL180792,C[C@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,IC50,'=',1.7,nM,463.6,5.93
CHEMBL362793,Oc1ccc(-c2nc3cc(O)c(Cl)cc3o2)cc1F,IC50,'=',1813,nM,279.65,3.7
CHEMBL186073,Oc1ccc2oc(-c3cccc(O)c3O)nc2c1,IC50,'=',5110,nM,243.22,2.61
CHEMBL226329,Nc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',19.3,nM,460.6,6.51
CHEMBL389907,CS(=O)(=O)c1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',27,nM,523.68,6.33
CHEMBL187937,C#Cc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,IC50,'=',481,nM,251.24,2.89
CHEMBL365293,Oc1ccc(-c2noc3ccccc23)c(O)c1,IC50,'=',6100,nM,227.22,2.91
CHEMBL183333,Oc1ccc2c(c1)CS[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,IC50,'=',0.6,nM,431.6,5.99
CHEMBL184151,N#CCc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,IC50,'=',1152,nM,265.27,3.58
CHEMBL186513,N#Cc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,IC50,'=',411,nM,252.23,2.78
CHEMBL441366,CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]nnc3c1C2,IC50,'=',220,nM,309.41,4.22
CHEMBL213529,CCCC12CCC(=O)C(CC)=C1c1ccc3[nH]nnc3c1C2,IC50,'=',612,nM,295.39,3.83
CHEMBL3109154,CCOC(=O)COc1ccc(-c2ccc(OCCN(C)C)c(Cc3ccc(-c4ccccc4)cc3)c2)cc1,IC50,'=',3100,nM,509.65,6.49
CHEMBL3098273,CCCCCCNCCOc1ccc(/C(=C(/CC)c2ccccc2)c2ccc(O)cc2)cc1,IC50,'=',151,nM,443.63,7.31
CHEMBL1539865,N#Cc1nc(-c2ccc(OCc3ccc(Cl)cc3)cc2)oc1NCc1cccnc1,IC50,'=',37410.11,nM,416.87,5.45
CHEMBL1461574,CCOP(=O)(OCC)C1(NS(=O)(=O)c2ccccc2)C=C(Br)C(=O)c2ccccc21,IC50,'=',8688.31,nM,514.33,4.56
CHEMBL1501269,Cc1cc(=O)oc2c(CN3CCC(C)CC3)c(O)c(Cl)cc12,IC50,'=',23727.96,nM,321.8,3.69
CHEMBL1384049,Cc1ccc(-n2c(=O)c(C#N)cc3c(=O)n4cccc(C)c4nc32)cc1,IC50,'=',30868.34,nM,342.36,2.49
CHEMBL1559731,Cc1cc(C(=O)O)ccc1-n1c(C)ccc1C,IC50,'=',7534.84,nM,229.28,3.1
CHEMBL1505467,Cc1nc2cc(-c3ccsc3-n3c(C)ccc3C)nn2c(O)c1Cl,IC50,'=',27467.17,nM,358.85,4.53
CHEMBL33263,Cc1cc([C@@H]2C(=O)c3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc(C)c1O,IC50,'=',1050,nM,487.6,5.68
CHEMBL211739,N#CC1=C2c3ccc(O)cc3CC2(c2ccccc2)CCC1=O,IC50,'=',880,nM,301.35,3.53
CHEMBL3578285,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc3cc(N4CCOCC4)ccc3[nH]2)C1=O,IC50,'=',6100,nM,514.56,4.72
CHEMBL2403356,CCCC(CCC)(c1ccc(O)c(C)c1)c1ccc(O)c(C)c1,IC50,'=',4.92,nM,312.45,5.6
CHEMBL1605393,CCc1ccc2nc(O)c(C3C(C#N)=C(N)Oc4c3ccc3cccnc43)cc2c1,IC50,'=',11260.79,nM,394.43,4.27
CHEMBL1520373,COc1ccc2c(c1)c(=O)oc1cc3oc(C)c(C)c3cc12,IC50,'=',6904.21,nM,294.31,4.32
CHEMBL1442450,Cn1ccnc1SCC(=O)Nc1ccc2nc(SCC(=O)NC3CC3)sc2c1,IC50,'=',25675.07,nM,433.58,3.13
CHEMBL1449885,CCCn1nc(C(=O)OCC(=O)c2ccc3c(c2)NC(=O)CO3)c2ccccc2c1=O,IC50,'=',37919.19,nM,421.41,2.18
CHEMBL1476347,N#Cc1ccc(-c2cccnc2)nc1SCC(=O)Nc1sc2c(c1C#N)CCC2,IC50,'=',14973.67,nM,417.52,4.17
CHEMBL361005,C[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)c(F)c4[C@@H](C)[C@@H]3c3ccc(O)cc3)cc2)C1,IC50,'=',0.8,nM,477.58,5.98
CHEMBL1081361,C[C@]12CC[C@@H]3c4cc(Cl)c(O)cc4CC[C@H]3[C@@H]1CCCC2=O,IC50,'=',770,nM,318.84,4.86
CHEMBL469511,Oc1ccc(C2=C(c3ccc(OCCN4CCCC4)cc3)c3ccc(O)cc3OCC2)cc1,IC50,'=',8.4,nM,443.54,5.31
CHEMBL4213948,O=S(=O)(Oc1cccc(C(F)(F)F)c1)C1CC2OC1C(c1ccc(/C=C/c3cc(O)cc(O)c3)cc1)=C2c1ccc(O)cc1,IC50,'=',72,nM,622.62,6.85
CHEMBL4214942,COc1cc(/C=C/c2cccc(OS(=O)(=O)C3CC4OC3C(c3ccc(O)cc3)=C4c3ccc(O)cc3)c2)cc(OC)c1,IC50,'=',738,nM,598.67,6.14
CHEMBL4537710,COc1cc(N2CCN(CCCCCOc3ccc([C@@H]4c5ccc(O)cc5CC[C@@H]4c4ccccc4)cc3)CC2)cc2c1C(=O)N([C@@H]1CCC(=O)NC1=O)C2,IC50,'=',0.37,nM,742.92,6.4
CHEMBL4466148,COc1cc(N2CCN(C3CC4CC(Oc5ccc([C@@H]6c7ccc(O)cc7CC[C@@H]6c6ccc(F)cc6)cc5)CC4C3)CC2)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2,IC50,'=',0.82,nM,798.96,6.92
CHEMBL4212746,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCOc1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1,IC50,'=',0.5,nM,689.9,8.54
CHEMBL4208017,O=C(NCCCCOc1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1)C1CCCCC1,IC50,'=',0.4,nM,513.72,7.51
CHEMBL377644,CCCC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2,IC50,'=',176,nM,348.37,4.97
CHEMBL1326210,Cn1nc([N+](=O)[O-])c2c(-c3nc4ccccc4s3)c(N)n(C3CCCCC3)c2c1=O,IC50,'=',4982.94,nM,424.49,4.01
CHEMBL1389780,O=S(=O)(NCc1csc(-c2cccnc2)n1)c1cccs1,IC50,'=',18045.36,nM,337.45,2.75
CHEMBL1516948,Cc1cccc(NC2=NC(=O)/C(=C3/C(=O)N(C)c4ccccc43)S2)c1C,IC50,'=',32901.38,nM,363.44,3.73
CHEMBL1300662,C=CCn1c(=O)c(C#N)cc2c(=O)n3ccccc3nc21,IC50,'=',44689.26,nM,278.27,1.07
CHEMBL1359893,COc1ccc(Cl)cc1NC(=O)c1ocnc1C,IC50,'=',24949.8,nM,266.68,2.9
CHEMBL3856091,NC(=S)n1[nH]c(-c2ccc([N+](=O)[O-])cc2)c(/N=N/c2ccc(O)cc2)c1=O,IC50,'=',11020.03,nM,384.38,2.96
CHEMBL1302802,C=CCn1c(SCC(=O)NC(=O)NCc2ccco2)nc2sc(CC)cc2c1=O,IC50,'=',10088.75,nM,432.53,2.92
CHEMBL1372307,CCOc1cccc2cc(-c3cn4cc(C)ccc4n3)c(=O)oc12,IC50,'=',3818.74,nM,320.35,3.81
CHEMBL1612880,CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)c1cc(-c2ccco2)nc2ccccc12,IC50,'=',14720.92,nM,487.56,5.38
CHEMBL1587260,COc1ccc(C)cc1-n1nnnc1SCC(=O)NC(=O)NCc1ccco1,IC50,'=',9477.83,nM,402.44,1.69
CHEMBL3667040,C/C=C/C1=CC2=C(CO1)C(=O)[C@]1(C)OC(=O)[C@H](C(O)CCCCC)C1C2,IC50,'=',16000,nM,360.45,3.24
CHEMBL1671971,COc1cc(/C=C2\SC(=O)NC2=O)ccc1Oc1ccc(C#N)cc1C(F)(F)F,IC50,'=',2200,nM,420.37,4.7
CHEMBL4165523,CC1=C(c2cccc(O)c2)C(c2ccc(OCCN3CC(C)C3)cc2)Oc2ccc(O)cc21,IC50,'=',0.3,nM,443.54,5.49
CHEMBL4224834,O=C(/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1)N1CCN(Cc2ccccc2)CC1,IC50,'=',74,nM,560.67,6.63
CHEMBL3589349,O=C(O)CCCCCCC(=O)Nc1ccc(OS(=O)(=O)C2CC3OC2C(c2ccc(O)cc2)=C3c2ccc(O)cc2)cc1,IC50,'=',50,nM,607.68,5.32
CHEMBL4160682,Cc1cc(C)c2nc(-c3cc4ccccc4n3Cc3ccccc3)[nH]c2c1,IC50,'=',33.13,nM,351.45,5.85
CHEMBL4169456,Brc1ccc2[nH]c(-c3cc4ccccc4n3Cc3ccccc3)nc2c1,IC50,'=',73.61,nM,402.3,6
CHEMBL4171721,BrC1=CN2NC(c3cc4ccccc4n3Cc3ccccc3)=NC2N=C1,IC50,'=',539.18,nM,406.29,3.86
CHEMBL4099302,CN(CCO)C(=O)/C=C/c1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1,IC50,'=',5.4,nM,443.59,5.11
CHEMBL213070,CCCC12CCC(=O)C(Br)=C1c1ccc3[nH]nnc3c1C2,IC50,'=',3301,nM,346.23,3.77
CHEMBL371788,CC1=C(c2ccc(O)cc2)C(=O)c2c(O)cc(O)cc21,IC50,'=',31,nM,268.27,2.93
CHEMBL191836,O=C1C(c2ccc(O)cc2)=C(c2ccccc2)c2cc(O)cc(O)c21,IC50,'=',3,nM,330.34,3.96
CHEMBL371012,Oc1ccc(-c2c(-c3ccccc3)[nH]c3ccccc23)cc1,IC50,'=',24,nM,285.35,5.21
CHEMBL183584,C[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,IC50,'=',3,nM,463.6,5.79
CHEMBL180146,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,IC50,'=',0.8,nM,477.58,6.12
CHEMBL362623,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCC3)cc2)cc1,IC50,'=',2.6,nM,449.57,5.54
CHEMBL89995,Oc1ccc2c(c1)CCN(c1ccccc1)C2CC1CCCCC1,IC50,'=',53.1,nM,321.46,5.47
CHEMBL4203715,O=S(=O)(Oc1ccc(Br)cc1)C1CC2OC1C(c1ccc(/C=C/c3cc(O)cc(O)c3)cc1)=C2c1ccc(O)cc1,IC50,'=',61,nM,633.52,6.6
CHEMBL195991,CCN(CC)CCOc1ccc(Cn2c3ccccc3c3sc4cc(O)ccc4c32)cc1,IC50,'=',57.4,nM,444.6,6.48
CHEMBL193108,CCSC1=C(c2ccc(O)cc2)C(=O)c2cc(O)ccc21,IC50,'=',10,nM,298.36,3.92
CHEMBL193207,COc1ccc2c(c1)C(Br)=C(c1ccc(O)cc1)C2=O,IC50,'=',1800,nM,331.17,3.86
CHEMBL370037,CC1=C(c2ccc(O)cc2)C(=O)c2ccc(O)cc21,IC50,'=',6,nM,252.27,3.22
CHEMBL205119,C=Cc1cc(O)cc2c1-c1ccc(O)c(C)c1CC2,IC50,'=',240,nM,252.31,3.81
CHEMBL371564,N#Cc1cc(O)c(C#N)c2ccc(-c3ccc(O)c(F)c3)cc12,IC50,'=',877,nM,304.28,3.8
