Molecule.ChEMBL.ID,Smiles,Standard.Type,Standard.Relation,Standard.Value,Standard.Units,Molecular.Weight,AlogP
CHEMBL440283,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,IC50,'=',10,nM,290.45,3.67
CHEMBL437065,C#C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,IC50,'=',17,nM,300.44,3.28
CHEMBL382097,CC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,IC50,'=',16,nM,304.47,4.06
CHEMBL380876,CO/C=C\[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,IC50,'=',303,nM,332.48,3.81
CHEMBL202007,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C\F)C1CC[C@@H]2O,IC50,'=',25,nM,320.45,4.13
CHEMBL239723,CN1CC(c2ccc(O)cc2)Cc2ccc(O)cc21,IC50,'=',220,nM,255.32,2.87
CHEMBL371009,N#Cc1cc(-c2ccc(O)c(F)c2)nc2ccc(O)cc12,IC50,'=',23,nM,280.26,3.32
CHEMBL363425,Oc1ccc2cc(-c3ccc(O)c(F)c3)cc(F)c2c1,IC50,'=',1.5,nM,272.25,4.2
CHEMBL191710,Oc1ccc(-c2ccc3c(Cl)c(O)ccc3c2)c(Cl)c1,IC50,'=',3.3,nM,305.16,5.22
CHEMBL359671,C[C@H]1CCN([C@@H](C)COc2ccc([C@@H]3Oc4ccc(O)c(F)c4[C@@H](C)[C@@H]3c3ccc(O)cc3)cc2)C1,IC50,'=',19,nM,491.6,6.37
CHEMBL187673,Oc1ccc(-c2nc3ccc(O)cc3o2)cc1,IC50,'=',50,nM,227.22,2.91
CHEMBL192586,O=C1C(c2ccc(O)cc2)=C(c2ccccc2)c2ccc(O)cc21,IC50,'=',9,nM,314.34,4.25
CHEMBL190025,CCSC1=C(c2ccc(O)cc2)C(=O)c2cc(O)cc(O)c21,IC50,'=',150,nM,314.36,3.62
CHEMBL209623,CC[C@@]12CCC(=O)C(C3CC3)=C1c1ccc3[nH]ncc3c1C2,IC50,'=',7.7,nM,292.38,4.04
CHEMBL378990,CC12CCC(=O)C(Br)=C1c1ccc3[nH]ncc3c1C2,IC50,'=',26,nM,317.19,3.59
CHEMBL328475,O=S(=O)(c1ccc2ccccc2c1)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,IC50,'=',1080,nM,528.67,5.36
CHEMBL1469865,Cn1c(C(=O)Nc2ccc3c(c2)OCO3)cc2c(=O)n(C)c3ccccc3c21,IC50,'=',46.81,nM,375.38,3.01
CHEMBL90008,CC(C)C1c2ccc(O)cc2CCN1c1ccccc1,IC50,'=',180,nM,267.37,4.15
CHEMBL1470395,CSC1=N/C(=C\c2ccc(Br)o2)C(=O)S1,IC50,'=',8577.14,nM,304.19,3.38
CHEMBL208978,CCCCC12CCC(=O)C(C(F)(F)F)=C1c1ccc(O)cc1C2,IC50,'=',1.5,nM,324.34,4.8
CHEMBL206426,O=c1c2c(O)cc(O)cc2ncn1-c1ccc(O)nc1,IC50,'=',51696,nM,271.23,0.9
CHEMBL211870,CCC12CCC(=O)C(Br)=C1c1ccc3[nH]nc(F)c3c1C2,IC50,'=',1.6,nM,349.2,4.12
CHEMBL211599,CC12CCC(=O)C=C1c1ccc(O)cc1C2,IC50,'=',936,nM,214.26,2.7
CHEMBL1088337,O=C1CCC(=O)N1CCOc1ccc([C@@H]2Oc3cc(O)ccc3C3=C2c2ccc(O)cc2OCC3)cc1,IC50,'=',18.6,nM,499.52,4.45
CHEMBL1097377,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)c1ccc2c(c1)COC2,IC50,'=',76.38,nM,390.52,5.17
CHEMBL1098709,CCOC(=O)C1(C(C)=O)Cc2ccc([C@]3(O)CC[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@@]43C)cc2C1,IC50,'=',319.15,nM,502.65,5.37
CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,IC50,'=',98.27,nM,406.91,6.61
CHEMBL1383031,O=C(NCc1ccc2c(c1)OCO2)c1cc2ncc(Br)cn2n1,IC50,'=',363.32,nM,375.18,2.15
CHEMBL431611,Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,'=',31,nM,439.62,6.04
CHEMBL370039,O=C(Cc1cc2ccccc2o1)c1ccc(O)cc1O,IC50,'=',43000,nM,268.27,3.27
CHEMBL371564,N#Cc1cc(O)c(C#N)c2ccc(-c3ccc(O)c(F)c3)cc12,IC50,'=',28,nM,304.28,3.8
CHEMBL433944,COc1cc(O)c(Br)c2cc(-c3ccc(O)cc3)oc12,IC50,'=',0.5,nM,335.15,4.28
CHEMBL193207,COc1ccc2c(c1)C(Br)=C(c1ccc(O)cc1)C2=O,IC50,'=',199,nM,331.17,3.86
CHEMBL183092,CC[C@@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,IC50,'=',97,nM,477.63,6.32
CHEMBL359633,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OC[C@H](C)N3CCCC3)cc2)[C@H]1c1ccc(O)cc1,IC50,'=',29,nM,477.58,6.12
CHEMBL363633,CC#Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12,IC50,'=',10,nM,292.31,4.43
CHEMBL195788,O=[N+]([O-])c1c(O)ccc2cc(-c3ccc(O)cc3)ccc12,IC50,'=',199,nM,281.27,3.83
CHEMBL186073,Oc1ccc2oc(-c3cccc(O)c3O)nc2c1,IC50,'=',963,nM,243.22,2.61
CHEMBL188792,COc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,IC50,'=',59,nM,257.25,2.91
CHEMBL426626,Oc1cc(Br)c2oc(-c3ccc(O)c(C(F)(F)F)c3)nc2c1,IC50,'=',166,nM,374.11,4.69
CHEMBL365903,NC(=O)c1cc(O)cc2nc(-c3ccc(O)cc3)oc12,IC50,'=',95,nM,270.24,2
CHEMBL187937,C#Cc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,IC50,'=',15,nM,251.24,2.89
CHEMBL364345,Oc1ccc(-c2nc3cc(O)cc(C4CCCC4)c3o2)cc1,IC50,'=',102,nM,295.34,4.56
CHEMBL183388,CC[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,IC50,'=',24,nM,477.63,6.18
CHEMBL184598,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC4CCC4C3)cc2)cc1,IC50,'=',85,nM,475.61,5.79
